Number,Steps
2579,5 steps
2580,5 steps
2581,6 steps
2582,3 steps
2583,1 step
2584,7 steps
2585,6 steps
2586,7 steps
2587,1 step
2588,3 steps
2589,6 steps
2590,3 steps
2591,5 steps
2592,6 steps
2593,5 steps
2594,3 steps
2595,4 steps
2596,3 steps
2597,5 steps
2598,6 steps
2599,3 steps
2600,1 step
2601,7 steps
2602,6 steps
2603,7 steps
2604,1 step
2605,3 steps
2606,4 steps
2607,3 steps
2608,2 steps
2609,7 steps
2610,7 steps
2611,7 steps
2612,6 steps
2613,7 steps
2614,7 steps
2615,5 steps
2616,5 steps
2617,4 steps
2618,3 steps
2619,2 steps
2620,6 steps
2621,6 steps
2622,4 steps
2623,7 steps
2624,2 steps
2625,3 steps
2626,4 steps
2627,5 steps
2628,4 steps
2629,3 steps
2630,7 steps
2631,7 steps
2632,7 steps
2633,4 steps
2634,7 steps
2635,2 steps
2636,3 steps
2637,5 steps
2638,3 steps
2639,6 steps
2640,1 step
2641,7 steps
2642,2 steps
2643,7 steps
2644,4 steps
2645,7 steps
2646,2 steps
2647,7 steps
2648,1 step
2649,5 steps
2650,3 steps
2651,5 steps
2652,3 steps
2653,2 steps
2654,7 steps
2655,4 steps
2656,7 steps
2657,7 steps
2658,7 steps
2659,3 steps
2660,4 steps
2661,5 steps
2662,4 steps
2663,3 steps
2664,2 steps
2665,7 steps
2666,4 steps
2667,6 steps
2668,6 steps
2669,4 steps
2670,3 steps
2671,4 steps
2672,5 steps
2673,5 steps
2674,7 steps
2675,7 steps
2676,6 steps
2677,7 steps
2678,7 steps
2679,3 steps
2680,2 steps
2681,3 steps
2682,4 steps
2683,3 steps
2684,1 step
2685,7 steps
2686,6 steps
2687,7 steps
2688,1 step
2689,5 steps
2690,7 steps
2691,2 steps
2692,3 steps
2693,6 steps
2694,5 steps
2695,3 steps
2696,4 steps
2697,3 steps
2698,5 steps
2699,6 steps
2700,5 steps
2701,3 steps
2702,4 steps
2703,3 steps
2704,5 steps
2705,6 steps
2706,3 steps
2707,5 steps
2708,7 steps
2709,7 steps
2710,3 steps
2711,7 steps
2712,6 steps
2713,7 steps
2714,1 step
2715,3 steps
2716,4 steps
2717,5 steps
2718,5 steps
2719,7 steps
2720,4 steps
2721,6 steps
2722,6 steps
2723,7 steps
2724,7 steps
2725,5 steps
2726,5 steps
2727,5 steps
2728,5 steps
2729,5 steps
2730,3 steps
2731,7 steps
2732,7 steps
2733,6 steps
2734,7 steps
2735,7 steps
2736,5 steps
2737,5 steps
2738,4 steps
2739,3 steps
2740,5 steps
2741,1 step
2742,7 steps
2743,7 steps
2744,6 steps
2745,7 steps
2746,7 steps
2747,5 steps
2748,3 steps
2749,6 steps
2750,6 steps
2751,3 steps
